original_filename,src_ratio,src_format,com_ratio,com_format,metric,score
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jpg,UQI,0.9226966779450226
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jpg,SSIM,0.7172544544409817
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jpg,SCC,0.01810982179073718
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jpg,SAM,0.1170763697713431
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jpg,VIFP,0.7335116412347298
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jxr,PSNR,34.519138882673964
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jxr,UQI,0.9941248249080575
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jxr,SSIM,0.8898577943476292
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jxr,SCC,0.06042586401274358
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jxr,SAM,0.041094967621859456
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jxr,VIFP,0.8998452985634232
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,bpg,PSNR,36.623377692147265
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,bpg,UQI,0.9955985985456803
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,bpg,SSIM,0.9346385357065349
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,bpg,SCC,0.12442207297275824
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,bpg,SAM,0.03238206276772162
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,bpg,VIFP,0.9203383716442193
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jp2,PSNR,35.626774971705956
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jp2,UQI,0.9946344263013565
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jp2,SSIM,0.9253687710737443
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jp2,SCC,0.2797275167127656
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jp2,SAM,0.03619325327531521
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jp2,VIFP,0.9040624523003954
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jpg,PSNR,23.910766364007014
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jpg,UQI,0.893117216569134
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jpg,SSIM,0.6652690369632724
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jpg,SCC,0.009637368872896589
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jpg,SAM,0.13845010874813451
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jpg,VIFP,0.6675129604415317
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jxr,PSNR,33.30998438886932
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jxr,UQI,0.9930314643192245
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jxr,SSIM,0.8691523471728049
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jxr,SCC,0.04349545694171627
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jxr,SAM,0.047222560721763195
tadej-skofic-571573-unsplash-shrinked,10,jp2,80,jxr,VIFP,0.8942667224756854
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,bpg,PSNR,41.34190330920143
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,bpg,UQI,0.9982294606421864
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,bpg,SSIM,0.9671448394628671
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,bpg,SCC,0.3223881637483758
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,bpg,SAM,0.01904616471864264
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,bpg,VIFP,0.9598320090155237
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jp2,PSNR,39.845509936300864
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jp2,UQI,0.9970326975666876
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jp2,SSIM,0.9583641713807031
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jp2,SCC,0.24016469195901774
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jp2,SAM,0.02221177745348057
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jp2,VIFP,0.9226258484850125
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jpg,PSNR,39.09911803166732
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jpg,UQI,0.9967555925495128
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jpg,SSIM,0.9541180618590688
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jpg,SCC,0.3425643513073051
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jpg,SAM,0.024725231457980876
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jpg,VIFP,0.9504766126045777
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jxr,PSNR,38.32604185570108
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jxr,UQI,0.9968754595143619
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jxr,SSIM,0.9360275051348652
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jxr,SCC,0.2067108334552928
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jxr,SAM,0.027030122840462866
tadej-skofic-571573-unsplash-shrinked,10,jpg,20,jxr,VIFP,0.9367271081743784
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,bpg,PSNR,39.47977938326735
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,bpg,UQI,0.9973130826831582
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,bpg,SSIM,0.9533971828055817
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,bpg,SCC,0.22832401800656604
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,bpg,SAM,0.023605905810512442
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,bpg,VIFP,0.9481974911864388
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jp2,PSNR,37.474208768194885
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jp2,UQI,0.9953535508406302
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jp2,SSIM,0.9374178439196035
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jp2,SCC,0.13875705120596962
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jp2,SAM,0.029203399291379935
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jp2,VIFP,0.9080364847276342
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jpg,PSNR,33.534884839414175
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jpg,UQI,0.9892537663278888
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jpg,SSIM,0.8845401640169941
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jpg,SCC,0.13410017654253922
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jpg,SAM,0.046582030816365284
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jpg,VIFP,0.8845993401617865
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jxr,PSNR,35.572641148980516
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jxr,UQI,0.9950875245839675
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jxr,SSIM,0.9004724722132377
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jxr,SCC,0.1252779894209384
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jxr,SAM,0.036970692898545786
tadej-skofic-571573-unsplash-shrinked,10,jpg,40,jxr,VIFP,0.9062505861716381
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,bpg,PSNR,38.10508645219614
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,bpg,UQI,0.996536746699428
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,bpg,SSIM,0.9429150953557889
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,bpg,SCC,0.18152121633595722
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,bpg,SAM,0.027603478897503173
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,bpg,VIFP,0.9352729284954354
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jp2,PSNR,36.442749593828744
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jp2,UQI,0.9937115426143935
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jp2,SSIM,0.9293071183523254
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jp2,SCC,0.12560014334563624
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jp2,SAM,0.03262861940734544
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jp2,VIFP,0.8983874653999699
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jpg,PSNR,25.53888257553637
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jpg,UQI,0.923412389732163
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jpg,SSIM,0.7141199138316795
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jpg,SCC,0.03414523888977103
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jpg,SAM,0.11685119693495939
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jpg,VIFP,0.7343630127997643
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jxr,PSNR,34.56605967047369
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jxr,UQI,0.9942753723338935
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jxr,SSIM,0.8849388278061426
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jxr,SCC,0.10349964741546551
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jxr,SAM,0.04146772041074313
tadej-skofic-571573-unsplash-shrinked,10,jpg,60,jxr,VIFP,0.8981386561342188
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,bpg,PSNR,36.78030621904438
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,bpg,UQI,0.9952586750094866
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,bpg,SSIM,0.930228736044525
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,bpg,SCC,0.14821665219672814
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,bpg,SAM,0.03215916320702355
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,bpg,VIFP,0.9212739910072519
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jp2,PSNR,35.43382805451805
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jp2,UQI,0.9932238458300754
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jp2,SSIM,0.9184965931322857
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jp2,SCC,0.1007486796085062
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jp2,SAM,0.03664447706578531
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jp2,VIFP,0.8963219438603809
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jpg,PSNR,23.94757480984292
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jpg,UQI,0.8931042028686952
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jpg,SSIM,0.6609963891002906
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jpg,SCC,0.021528487060288905
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jpg,SAM,0.1381874405945492
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jpg,VIFP,0.6648509771144476
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jxr,PSNR,33.35630970459991
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jxr,UQI,0.9929641445580444
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jxr,SSIM,0.8637610662766425
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jxr,SCC,0.0788798536850925
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jxr,SAM,0.04758896432833965
tadej-skofic-571573-unsplash-shrinked,10,jpg,80,jxr,VIFP,0.8885842797200844
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,bpg,PSNR,38.99948953815929
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,bpg,UQI,0.9967325561019806
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,bpg,SSIM,0.9579516663424795
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,bpg,SCC,0.17373121457462437
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,bpg,SAM,0.02442574246984887
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,bpg,VIFP,0.9274525899275632
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jp2,PSNR,41.091689127449015
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jp2,UQI,0.9980476092327594
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jp2,SSIM,0.9723019403389053
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jp2,SCC,0.5465049791108648
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jp2,SAM,0.019565673643131377
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jp2,VIFP,0.9414131032541141
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jpg,PSNR,37.3102124437736
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jpg,UQI,0.9954995388658316
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jpg,SSIM,0.9402242484681139
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jpg,SCC,0.16919601399666534
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jpg,SAM,0.029926207820062663
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jpg,VIFP,0.9224546728600814
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jxr,PSNR,37.439042007214795
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jxr,UQI,0.9960543461433061
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jxr,SSIM,0.9388341445614804
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jxr,SCC,0.11369547257830243
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jxr,SAM,0.029176309884183616
tadej-skofic-571573-unsplash-shrinked,30,jp2,20,jxr,VIFP,0.9153124140087562
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,bpg,PSNR,38.53727722631271
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,bpg,UQI,0.9965847685981514
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,bpg,SSIM,0.9578958680104602
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,bpg,SCC,0.15711710327080086
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,bpg,SAM,0.02579685166222971
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,bpg,VIFP,0.9209009897778095
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jp2,PSNR,42.575038423764994
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jp2,UQI,0.9988962365566896
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jp2,SSIM,0.9825512097918848
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jp2,SCC,0.6844225368623473
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jp2,SAM,0.016421848830428947
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jp2,VIFP,0.951413987293544
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jpg,PSNR,33.442156984873826
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jpg,UQI,0.9885713992281012
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jpg,SSIM,0.8909617654147093
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jpg,SCC,0.08672569314012911
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jpg,SAM,0.04684661316632314
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jpg,VIFP,0.8811600176715291
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jxr,PSNR,35.39258805037679
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jxr,UQI,0.9948014453849762
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jxr,SSIM,0.9129635680304005
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jxr,SCC,0.07274945263028036
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jxr,SAM,0.037096959044655
tadej-skofic-571573-unsplash-shrinked,30,jp2,40,jxr,VIFP,0.9013082444754521
tadej-skofic-571573-unsplash-shrinked,30,jp2,60,bpg,PSNR,37.784512697620265
tadej-skofic-571573-unsplash-shrinked,30,jp2,60,bpg,UQI,0.9963271359374427
tadej-skofic-571573-unsplash-shrinked,30,jp2,60,bpg,SSIM,0.9538242029150271
tadej-skofic-571573-unsplash-shrinked,30,jp2,60,bpg,SCC,0.13669604311955622
tadej-skofic-571573-unsplash-shrinked,30,jp2,60,bpg,SAM,0.02819438008363907
tadej-skofic-571573-unsplash-shrinked,30,jp2,60,bpg,VIFP,0.9196683568551383
tadej-skofic-571573-unsplash-shrinked,30,jp2,60,jp2,PSNR,39.33918900051447
tadej-skofic-571573-unsplash-shrinked,30,jp2,60,jp2,UQI,0.997025430037462
tadej-skofic-571573-unsplash-shrinked,30,jp2,60,jp2,SSIM,0.9687345854357773
tadej-skofic-571573-unsplash-shrinked,30,jp2,60,jp2,SCC,0.5308638660282657
tadej-skofic-571573-unsplash-shrinked,30,jp2,60,jp2,SAM,0.023792963965362346
tadej-skofic-571573-unsplash-shrinked,30,jp2,60,jp2,VIFP,0.9188107326653598
tadej-skofic-571573-unsplash-shrinked,30,jp2,60,jpg,PSNR,25.52941044356888
tadej-skofic-571573-unsplash-shrinked,30,jp2,60,jpg,UQI,0.922607138068126
tadej-skofic-571573-unsplash-shrinked,30,jp2,60,jpg,SSIM,0.7275214674777343
