filename,srccompRatio,srcformat,comcompRatio,comformat,metric,score
test_30_jp2,30,jp2,60,bpg,VIFP,0.3686947009663936
test_30_jp2,30,jp2,60,jp2,PSNR,23.143545727199346
test_30_jp2,30,jp2,60,jp2,UQI,0.9848148130117056
test_30_jp2,30,jp2,60,jp2,SSIM,0.8164853254318718
test_30_jp2,30,jp2,60,jp2,ERGAS,5154.793722576778
test_30_jp2,30,jp2,60,jp2,SAM,0.10168860261453179
test_30_jp2,30,jp2,60,jp2,VIFP,0.30297891559096357
test_30_jp2,30,jp2,60,jpg,PSNR,20.183094023708943
test_30_jp2,30,jp2,60,jpg,UQI,0.9665948448146576
test_30_jp2,30,jp2,60,jpg,SSIM,0.6888543210071818
test_30_jp2,30,jp2,60,jpg,ERGAS,7823.331170507442
test_30_jp2,30,jp2,60,jpg,SAM,0.1432921556383042
test_30_jp2,30,jp2,60,jpg,VIFP,0.1972497417647374
test_30_jp2,30,jp2,60,jxr,PSNR,20.8290574243253
test_30_jp2,30,jp2,60,jxr,UQI,0.9762921581274532
test_30_jp2,30,jp2,60,jxr,SSIM,0.6890390323974818
test_30_jp2,30,jp2,60,jxr,ERGAS,6911.243863317907
test_30_jp2,30,jp2,60,jxr,SAM,0.13341078442240845
test_30_jp2,30,jp2,60,jxr,VIFP,0.19958940116124213
test_30_jp2,30,jp2,80,bpg,PSNR,24.154942654080696
test_30_jp2,30,jp2,80,bpg,UQI,0.9887619712473689
test_30_jp2,30,jp2,80,bpg,SSIM,0.8273312861735885
test_30_jp2,30,jp2,80,bpg,ERGAS,4706.957466772709
test_30_jp2,30,jp2,80,bpg,SAM,0.09007055928204442
test_30_jp2,30,jp2,80,bpg,VIFP,0.3194775380618056
test_30_jp2,30,jp2,80,jp2,PSNR,21.631377480753926
test_30_jp2,30,jp2,80,jp2,UQI,0.9799380181353331
test_30_jp2,30,jp2,80,jp2,SSIM,0.7686504640047443
test_30_jp2,30,jp2,80,jp2,ERGAS,5988.624619582988
test_30_jp2,30,jp2,80,jp2,SAM,0.12130448444217552
test_30_jp2,30,jp2,80,jp2,VIFP,0.2555783703402217
test_30_jp2,30,jp2,80,jpg,PSNR,20.183094023708943
test_30_jp2,30,jp2,80,jpg,UQI,0.9665948448146576
test_30_jp2,30,jp2,80,jpg,SSIM,0.6888543210071818
test_30_jp2,30,jp2,80,jpg,ERGAS,7823.331170507442
test_30_jp2,30,jp2,80,jpg,SAM,0.1432921556383042
test_30_jp2,30,jp2,80,jpg,VIFP,0.1972497417647374
test_30_jp2,30,jp2,80,jxr,PSNR,18.605072307997354
test_30_jp2,30,jp2,80,jxr,UQI,0.9639971132950448
test_30_jp2,30,jp2,80,jxr,SSIM,0.5930032617173083
test_30_jp2,30,jp2,80,jxr,ERGAS,8566.692812222338
test_30_jp2,30,jp2,80,jxr,SAM,0.17228214642287687
test_30_jp2,30,jp2,80,jxr,VIFP,0.1370038160911323
test_30_jpg,30,jpg,20,bpg,PSNR,21.917007315469412
test_30_jpg,30,jpg,20,bpg,UQI,0.978123070362462
test_30_jpg,30,jpg,20,bpg,SSIM,0.7647877916870662
test_30_jpg,30,jpg,20,bpg,ERGAS,6501.676519414684
test_30_jpg,30,jpg,20,bpg,SAM,0.11802956171139718
test_30_jpg,30,jpg,20,bpg,VIFP,0.24973250500404096
test_30_jpg,30,jpg,20,jp2,PSNR,21.780540387927665
test_30_jpg,30,jpg,20,jp2,UQI,0.9778227177767057
test_30_jpg,30,jpg,20,jp2,SSIM,0.7536624299067299
test_30_jpg,30,jpg,20,jp2,ERGAS,6638.213198343584
test_30_jpg,30,jpg,20,jp2,SAM,0.11927357009458865
test_30_jpg,30,jpg,20,jp2,VIFP,0.24246569230078577
test_30_jpg,30,jpg,20,jpg,PSNR,21.985584198053793
test_30_jpg,30,jpg,20,jpg,UQI,0.9770959175197547
test_30_jpg,30,jpg,20,jpg,SSIM,0.751787293685025
test_30_jpg,30,jpg,20,jpg,ERGAS,6620.483110643979
test_30_jpg,30,jpg,20,jpg,SAM,0.11725239768642241
test_30_jpg,30,jpg,20,jpg,VIFP,0.24681929371297925
test_30_jpg,30,jpg,20,jxr,PSNR,21.60087004392683
test_30_jpg,30,jpg,20,jxr,UQI,0.976147559082789
test_30_jpg,30,jpg,20,jxr,SSIM,0.7374863423236641
test_30_jpg,30,jpg,20,jxr,ERGAS,6802.903046894802
test_30_jpg,30,jpg,20,jxr,SAM,0.12255848726959961
test_30_jpg,30,jpg,20,jxr,VIFP,0.23382263199471187
test_30_jpg,30,jpg,40,bpg,PSNR,22.176367297033494
test_30_jpg,30,jpg,40,bpg,UQI,0.9785077240138894
test_30_jpg,30,jpg,40,bpg,SSIM,0.7763239286509799
test_30_jpg,30,jpg,40,bpg,ERGAS,6347.100285966924
test_30_jpg,30,jpg,40,bpg,SAM,0.11469901087207501
test_30_jpg,30,jpg,40,bpg,VIFP,0.25731402438719797
test_30_jpg,30,jpg,40,jp2,PSNR,21.50654900795791
test_30_jpg,30,jpg,40,jp2,UQI,0.975421338750624
test_30_jpg,30,jpg,40,jp2,SSIM,0.7387396607838203
test_30_jpg,30,jpg,40,jp2,ERGAS,6854.436504618895
test_30_jpg,30,jpg,40,jp2,SAM,0.1232916313151769
test_30_jpg,30,jpg,40,jp2,VIFP,0.23024248893676583
test_30_jpg,30,jpg,40,jpg,PSNR,20.82525451572377
test_30_jpg,30,jpg,40,jpg,UQI,0.9713118427614585
test_30_jpg,30,jpg,40,jpg,SSIM,0.7120705378368829
test_30_jpg,30,jpg,40,jpg,ERGAS,7273.3034306293985
test_30_jpg,30,jpg,40,jpg,SAM,0.13411285208055793
test_30_jpg,30,jpg,40,jpg,VIFP,0.22250948935175915
test_30_jpg,30,jpg,40,jxr,PSNR,20.718712386655724
test_30_jpg,30,jpg,40,jxr,UQI,0.9719291674388538
test_30_jpg,30,jpg,40,jxr,SSIM,0.7030843019784041
test_30_jpg,30,jpg,40,jxr,ERGAS,7436.851201926713
test_30_jpg,30,jpg,40,jxr,SAM,0.1360941563229521
test_30_jpg,30,jpg,40,jxr,VIFP,0.20427385329502137
test_30_jpg,30,jpg,60,bpg,PSNR,22.25423171643132
test_30_jpg,30,jpg,60,bpg,UQI,0.9790895543633692
test_30_jpg,30,jpg,60,bpg,SSIM,0.770770366493597
test_30_jpg,30,jpg,60,bpg,ERGAS,6251.858494761194
test_30_jpg,30,jpg,60,bpg,SAM,0.11382416192793347
test_30_jpg,30,jpg,60,bpg,VIFP,0.2567575869589062
test_30_jpg,30,jpg,60,jp2,PSNR,20.515781010681195
test_30_jpg,30,jpg,60,jp2,UQI,0.9711780475548301
test_30_jpg,30,jpg,60,jp2,SSIM,0.6930806925988952
